'-2','navitron__links','http://www.wxyz.com/lifestyle/horoscopes','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/pets','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/science-and-tech','',' : under50Multi : shortString'
'8','inner','/money/consumer/dont-waste-your-money/moms-a-genius-former-flight-attendant-flying-high-with-brighton-cheese-and-crepe-market','',' : over50Multi : tooHigh : shortString : samePath'
'-10','inner','/lifestyle/new-kind-of-video-game-inspires-empathy','',' : over50Multi : tooHigh : shortString'
'-6','more','http://www.wxyz.com/lifestyle','',' : under50Multi : shortString'
'28','navitron-is-hidden hide-desktop','http://www.wxyz.com/photo-gallery','All Photo Gallery',' : under50Multi : longString : 2pSpaces'
'-4','inner','/news/news-photo-gallery/photo-gallery-michigan-basketball-teams-in-the-2014-ncaa-tournament','',' : over50Multi : tooHigh : shortString'
'-10','inner','/news/news-photo-gallery/feds-release-bobby-ferguson-trial-exhibit-photos','',' : over50Multi : tooHigh : shortString'
'-5','more','http://www.wxyz.com/photo-gallery','',' : under50Multi : shortString'
'-3','navitron-is-hidden hide-desktop','http://www.wxyz.com/video','All Video',' : under50Multi : shortString'
'-13',' hide-phone','http://www.wxyz.com/video/watch-newscasts-live','',' : under50Multi : tooHigh : shortString'
'-13','navitron__links','http://www.wxyz.com/video','',' : under50Multi : tooHigh : shortString'
'-4','inner','/news/scrapping-bill-closer-to-passing-in-lansing','',' : over50Multi : tooHigh : shortString'
'-10','inner','/news/monroe-residents-concerned-about-possible-flooding','',' : over50Multi : tooHigh : shortString'
'-7','more','http://www.wxyz.com/video','',' : under50Multi : shortString'
'7','navitron-is-hidden hide-desktop','http://www.wxyz.com/marketplace','All Marketplace',' : under50Multi'
'-13',' hide-phone','http://www.wxyz.com/marketplace/wedding-planning-show','',' : under50Multi : tooHigh : shortString'
'-13',' hide-phone','http://www.wxyz.com/marketplace/home-gardener','',' : under50Multi : tooHigh : shortString'
'-2',' hide-phone','http://www.wxyz.com/marketplace/peters-principles','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/marketplace/dmc-video-blog','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/marketplace/a-whole-new-you','',' : under50Multi : shortString'
'-4','inner','/marketplace/wedding-planning-show','',' : over50Multi : tooHigh : shortString'
'-10','inner','/marketplace/peters-principles','',' : over50Multi : tooHigh : shortString'
'-5','more','http://www.wxyz.com/marketplace','',' : under50Multi : shortString'
'7','navitron-is-hidden hide-desktop','http://www.wxyz.com/community','All Community',' : under50Multi'
'-4','inner','/community/women-helping-children-event-in-downtown-detroit','',' : over50Multi : tooHigh : shortString'
'-10','inner','/community/vic-faust-hosted-17th-annual-lenton-symposium-at-st-cyril-methodist-in-sterling-heights','',' : over50Multi : tooHigh : shortString'
'-6','more','http://www.wxyz.com/community','',' : under50Multi : shortString'
'17','navitron-is-hidden hide-desktop','http://www.wxyz.com/about-us','All About Us',' : under50Multi : 2pSpaces'
'-13','navitron__links','http://www.wxyz.com/about-us/contact-us','',' : under50Multi : tooHigh : shortString'
'-13','navitron__links','http://www.wxyz.com/about-us/faq','',' : under50Multi : tooHigh : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/staff','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/advertise','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/station-news','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/about-us/wxyz-internships','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/about-us/rss','',' : under50Multi : shortString'
'-4','inner','/about-us/contact-us','',' : over50Multi : tooHigh : shortString'
'-10','inner','/about-us/staff','',' : over50Multi : tooHigh : shortString'
'-6','more','http://www.wxyz.com/about-us','',' : under50Multi : shortString'
'7','hide-desktop','http://www.wxyz.com/traffic','All Traffic',' : under50Multi'
'26','inner','/traffic','7 Traffic NowCheck your commute with 7 Traffic Now!',' : over50Multi : tooHigh : longString : 2pSpaces'
'23','inner','/traffic','Latest construction alertsAvoid trouble spots on your commute by checking the latest construction alerts!',' : over50Multi : tooHigh : longString : 2pSpaces'
'-1','more','http://www.wxyz.com/traffic','MORE TRAFFIC',' : under50Multi'
'7','hide-desktop','http://www.wxyz.com/weather','All Weather',' : under50Multi'
'-14','navitron__links','http://www.wxyz.com/weather/forecast/todays-forecast/latestforecast','',' : under50Multi : tooHigh : shortString'
'-14','navitron__links','http://www.wxyz.com/weather/7-day','',' : under50Multi : tooHigh : shortString'
'-3','navitron__links','http://www.wxyz.com/weather/school-closings','',' : under50Multi : shortString'
'-3','navitron__links','http://www.wxyz.com/weather/alerts','',' : under50Multi : shortString'
'-3','navitron__links','http://www.wxyz.com/radars-maps','',' : under50Multi : shortString'
'26','inner','/weather/forecast/todays-forecast/latestforecast','FORECAST: Getting colder tonightColder air is blowing in, but it looks like most of the moisture will outrun it.  There is only a slight chance for a snow shower tonight.',' : over50Multi : tooHigh : longString : 2pSpaces'
'0','more','http://www.wxyz.com/weather','MORE WEATHER',' : under50Multi'
'28','side__body','/web/wxyz/news/australia-checking-2-objects-in-search-for-plane','Australia checking 2 objects in search for plane',' : over50Multi : tooHigh : longString : 2pSpaces'
'40','inner','/money/consumer/dont-waste-your-money/moms-a-genius-former-flight-attendant-flying-high-with-brighton-cheese-and-crepe-market','Former flight attendant flying high with marketFormer flight attendant flying high with Brighton cheese and crepe market14 SHARES',' : under50Multi : longString : 2pSpaces : samePath'
'40','inner','/money/consumer/dont-waste-your-money/freebie-friday','Freebie FridayScore some great deals today!',' : under50Multi : longString : 2pSpaces : samePath'
'28','inner','/lifestyle/new-kind-of-video-game-inspires-empathy','Video games that inspire empathyWhile violent video games are often said to desensitize people to violence, other games are getting noticed for doing just the opposite,…15 SHARES',' : under50Multi : longString : 2pSpaces'
'40','inner','/money/consumer/dont-waste-your-money/consumer-reports-says-nexium-and-drugs-like-it-are-overused-we-look-at-cheaper-alternatives','Overuse of #1 Prescription DrugConsumer Reports says Nexium, and drugs like it, are overused... We look at cheaper alternatives',' : under50Multi : longString : 2pSpaces : samePath'
'40','inner','/money/consumer/dont-waste-your-money/consumer-reports-compares-the-swiffer-sweeper-to-the-dyson-hard','Dyson Vs. SwifferConsumer Reports compares the Swiffer Sweeper to the Dyson Hard',' : under50Multi : longString : 2pSpaces : samePath'
'40','inner','/money/consumer/dont-waste-your-money/consumer-reports-tests-touch-up-products-that-claim-to-stretch-the-time-between-hair-colorings','Keeping the gray at bayConsumer Reports tests touch-up products that claim to stretch the time between hair colorings',' : under50Multi : longString : 2pSpaces : samePath'
'40','inner','/money/consumer/dont-waste-your-money/local-mom-helps-other-moms-realize-their-dreams-as-ceo-of-mom-biz-coach','Mom helps other moms realize their dreamsLocal mom helps other moms realize their dreams, as CEO of Mom Biz Coach42 SHARES',' : under50Multi : longString : 2pSpaces : samePath'
'40','inner','/money/consumer/dont-waste-your-money/consumer-reports-testers-uncover-problems-with-some-appliances','Appliance problemsConsumer Reports testers uncover problems with some appliances6 SHARES',' : under50Multi : longString : 2pSpaces : samePath'
'40','inner','/money/consumer/dont-waste-your-money/consumer-reports-put-paper-towels-to-the-test','Best paper towelsOur partners at Consumer Reports put paper towels to some tough tests so you don't waste your money. We have the results.',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/auto-news/general-motors-ceo-mary-barra-apologizes-for-deaths-related-to-delayed-recall-of-gm-cars','Before hand-picked reporters, GM CEO apologizesChannel 7, other media not invited to today's meeting Mary Barra.',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/business-news/graco-adds-more-than-403000-child-seats-to-38-million-recalled','Graco adds 403K car seats to 3.8M recalledGraco Children's Products has added more than 403,000 child seats to last month's recall of 3.8 million to replace faulty harness buckles.',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/business-news/chrysler-recalls-49000-chargers-to-fix-headlights','Chrysler recalls 49K Chargers to fix headlightsChrysler is recalling more than 49,000 Dodge Charger muscle cars because a connector can overheat and knock out low-beam headlights.',' : under50Multi : longString : 2pSpaces : samePath'
'29','inner','/news/region/detroit/shinola-donates-clocks-for-display-in-detroit','Shinola donates clocks for display in DetroitA company that makes handcrafted wristwatches in Detroit is donating four clocks for display in the city.',' : under50Multi : longString : 2pSpaces'
'41','inner','/money/auto-news/general-motors-ceo-mary-barra-expected-to-speak-at-university-of-michigan-commencement','GM chief exec. to speak at UM commencementA person familiar with the event says that new General Motors chief executive Mary Barra is expected to speak at the University of…',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/business-news/dispute-delays-redevelopment-of-blighted-packard-plant','Dispute delays redevelopment of Packard plantThe owner of Detroit's blighted Packard car plant complex says his redevelopment efforts have been delayed by a dispute with an ex-owner.',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/auto-news/general-motors-ceo-mary-barra-apologizes-for-deaths-related-to-delayed-recall-of-gm-cars','Before hand-picked reporters, GM CEO apologizesChannel 7, other media not invited to today's meeting Mary Barra.',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/consumer/recalls/no-recall-issued-for-popular-fisher-price-seahorse-toy-despite-fire-safety-concerns-','No recall for popular toy despite fire hazardAn investigation from Scripps Denver station KMGH has revealed serious safety concerns about one of the most popular children's toys on the…',' : under50Multi : longString : 2pSpaces : samePath'
'29','inner','/news/10k-genie-garage-door-openers-recalled-due-to-overheating-issue','10K Genie garage door openers recalledThe U.S. Consumer Product Safety Commission is issuing a recall for Genie garage door openers because of an overheating issue.',' : under50Multi : longString : 2pSpaces'
'29','inner','/news/191k-teething-toys-recalled-over-choking-risk','191K teething toys recalled over choking riskToy maker Infantino is recalling 191,000 teething toys sold exclusively at Target because a child could potentially choke on one of…',' : under50Multi : longString : 2pSpaces'
'41','inner','/money/consumer/recalls/recall-100-tons-of-dried-egg-products-recalled-over-salmonella-concerns','RECALL: 100 tons of dried egg products(WXYZ) - A Washington state company is recalling more than 100 tons of dried egg products over concerns about salmonella contamination.',' : under50Multi : longString : 2pSpaces : samePath'
'41','inner','/money/auto-news/general-motors-recalls-780000-compact-cars-due-to-engine-shut-down-six-deaths','GM recalls 780K cars after six deathsGeneral Motors is recalling nearly 780,000 compact cars in North America because the engines can shut down unexpectedly and cause crashes.',' : under50Multi : longString : 2pSpaces : samePath'
'25','block__inner','/news/australia-checking-2-objects-in-search-for-plane','Australia checking 2 objects in search for plane - WXYZ.com',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/drivers-dodge-giant-see-through-pothole-on-southbound-i-75-on-rouge-river-bridge-in-detroit','Drivers dodge giant see-through pothole on southbound I-75 on Rouge River Bridge in Detroit - WXYZ.c',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/oil-pulling-swish-technique-becoming-popular','Oil pulling swish technique becoming popular - WXYZ.com',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/local-news/water-cooler/video-detroit-academy-of-arts-and-sciences-students-show-how-happy-they-are','VIDEO: Detroit Academy of Arts and Sciences choir sing, dance to Pharrell Williams' 'Happy' - WXYZ.c',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/100-serial-rapists-identified-after-rape-kits-from-detroit-crime-lab-are-finally-processed','100 serial rapists identified after rape kits from Detroit Crime Lab are finally processed - WXYZ.co',' : under50Multi : longString : 2pSpaces'
'-2','footer--logo','/','',' : under50Multi : shortString'
'1','nav nav--footer link-list--inline','/news','NEWS',' : over50Multi : shortString'
'4','nav nav--footer link-list--inline','/weather','WEATHER',' : over50Multi : shortString'
'7','nav nav--footer link-list--inline','/traffic','TRAFFIC',' : over50Multi : shortString'
'10','nav nav--footer link-list--inline','/sports','SPORTS',' : over50Multi : shortString'
'17','nav nav--footer link-list--inline','/news/investigators','INVESTIGATORS',' : over50Multi'
'12','nav nav--footer link-list--inline','/entertainment','ENTERTAINMENT',' : over50Multi'
'6','nav nav--footer link-list--inline','/marketplace','MARKETPLACE',' : under50Multi'
'29','grid grid-half link-list link-list--stacked','/about-us/advertise','Advertise with Us',' : under50Multi : longString : 2pSpaces'
'8','grid grid-half link-list link-list--stacked','/about-us/contact-us','Contact Us',' : under50Multi'
'-2','grid grid-half link-list link-list--stacked','/about-us/staff','Staff',' : under50Multi : shortString'
'-2','grid grid-half link-list link-list--stacked','/weather','Weather',' : under50Multi : shortString'
'8','grid grid-half link-list link-list--stacked','/news/investigators','Investigators',' : under50Multi'
'13','grid grid-half link-list link-list--stacked','/community','Community Action',' : over50Multi'
'13','grid grid-half link-list link-list--stacked','/entertainment/around-town','Around Town',' : over50Multi'
'13','grid grid-half link-list link-list--stacked','http://sendit.wxyz.com/','Share News',' : over50Multi'
'3','grid grid-half link-list link-list--stacked','/contests','Contests',' : over50Multi : shortString'
'8','link-list link-list--inline','/about-us/privacy-policy','Privacy Policy',' : under50Multi'
'14','link-list link-list--inline','/about-us/legal/terms-conditions','Terms of Use',' : under50Multi : 2pSpaces'
'-10','link-list link-list--inline','/about-us/legal/wxyz-tv-eeo-public-file-report','EEO',' : under50Multi : shortString'
