TypeError: 'undefined' is not an object (evaluating 'EP.Resource.columnDefs')

  http://www.wxyz.com/html/js/endplay/PaywallUtil.js?epversion=47298:1
'16',' hide-phone','http://www.wxyz.com/money/recall','Recall',' : over50Multi : shortString : samePath'
'16',' hide-phone','http://www.wxyz.com/money/lottery','Lottery',' : over50Multi : shortString : samePath'
'38','inner','/money/consumer/dont-waste-your-money/moms-a-genius-former-flight-attendant-flying-high-with-brighton-cheese-and-crepe-market','Former flight attendant flying high with marketFormer flight attendant flying high with Brighton cheese and crepe market',' : over50Multi : longString : 2pSpaces'
'26','inner','/money/consumer/dont-waste-your-money/freebie-friday','Freebie FridayScore some great deals today!',' : under50Multi : longString : 2pSpaces'
'10','more','http://www.wxyz.com/money','MORE MONEY',' : under50Multi : samePath'
'7','inner','/news/hopcat-brewery-announces-detroit-location-in-midtown','',' : over50Multi : shortString'
'18','navitron-is-hidden hide-desktop','http://www.wxyz.com/entertainment','All Entertainment',' : under50Multi : longString'
'-2','navitron__links','http://www.wxyz.com/oscars','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/entertainment/celebrity','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/entertainment/movies-tv','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/entertainment/tv-listings','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/contests','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/entertainment/around-town','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/entertainment/abc-shows','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/entertainment/games','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/entertainment/water-cooler','',' : under50Multi : shortString'
'7','inner','/entertainment/the-return-of-flappy-bird','',' : over50Multi : shortString'
'1','inner','/entertainment/eminem-rihanna-to-perform-together-at-comerica-park-in-detroit-in-august-as-part-of-monster-tour','',' : over50Multi : shortString'
'-5','more','http://www.wxyz.com/entertainment','',' : under50Multi : shortString'
'7','navitron-is-hidden hide-desktop','http://www.wxyz.com/lifestyle','All Lifestyle',' : under50Multi'
'-2','navitron__links','http://www.wxyz.com/lifestyle/katie','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/dr-oz-tips','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/food','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/lifestyle/travel','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/horoscopes','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/pets','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/lifestyle/science-and-tech','',' : under50Multi : shortString'
'7','inner','/money/consumer/dont-waste-your-money/moms-a-genius-former-flight-attendant-flying-high-with-brighton-cheese-and-crepe-market','',' : over50Multi : shortString'
'1','inner','/lifestyle/new-kind-of-video-game-inspires-empathy','',' : over50Multi : shortString'
'-6','more','http://www.wxyz.com/lifestyle','',' : under50Multi : shortString'
'28','navitron-is-hidden hide-desktop','http://www.wxyz.com/photo-gallery','All Photo Gallery',' : under50Multi : longString : 2pSpaces'
'7','inner','/news/news-photo-gallery/photo-gallery-michigan-basketball-teams-in-the-2014-ncaa-tournament','',' : over50Multi : shortString'
'1','inner','/news/news-photo-gallery/feds-release-bobby-ferguson-trial-exhibit-photos','',' : over50Multi : shortString'
'-5','more','http://www.wxyz.com/photo-gallery','',' : under50Multi : shortString'
'-3','navitron-is-hidden hide-desktop','http://www.wxyz.com/video','All Video',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/video/watch-newscasts-live','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/video','',' : under50Multi : shortString'
'7','inner','/news/drivers-dodge-giant-see-through-pothole-on-southbound-i-75-on-rouge-river-bridge-in-detroit','',' : over50Multi : shortString'
'1','inner','/news/bb-gun-found-in-backpack-on-school-bus','',' : over50Multi : shortString'
'-7','more','http://www.wxyz.com/video','',' : under50Multi : shortString'
'7','navitron-is-hidden hide-desktop','http://www.wxyz.com/marketplace','All Marketplace',' : under50Multi'
'-2',' hide-phone','http://www.wxyz.com/marketplace/wedding-planning-show','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/marketplace/home-gardener','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/marketplace/peters-principles','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/marketplace/dmc-video-blog','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/marketplace/a-whole-new-you','',' : under50Multi : shortString'
'7','inner','/marketplace/wedding-planning-show','',' : over50Multi : shortString'
'1','inner','/marketplace/peters-principles','',' : over50Multi : shortString'
'-5','more','http://www.wxyz.com/marketplace','',' : under50Multi : shortString'
'7','navitron-is-hidden hide-desktop','http://www.wxyz.com/community','All Community',' : under50Multi'
'7','inner','/community/women-helping-children-event-in-downtown-detroit','',' : over50Multi : shortString'
'1','inner','/community/vic-faust-hosted-17th-annual-lenton-symposium-at-st-cyril-methodist-in-sterling-heights','',' : over50Multi : shortString'
'-6','more','http://www.wxyz.com/community','',' : under50Multi : shortString'
'17','navitron-is-hidden hide-desktop','http://www.wxyz.com/about-us','All About Us',' : under50Multi : 2pSpaces'
'-2','navitron__links','http://www.wxyz.com/about-us/contact-us','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/faq','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/staff','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/advertise','',' : under50Multi : shortString'
'-2','navitron__links','http://www.wxyz.com/about-us/station-news','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/about-us/wxyz-internships','',' : under50Multi : shortString'
'-2',' hide-phone','http://www.wxyz.com/about-us/rss','',' : under50Multi : shortString'
'7','inner','/about-us/contact-us','',' : over50Multi : shortString'
